scenario_id,agent_type,n,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,social_appropriateness_mean,social_appropriateness_std
commute_disruption,utility_planner,3,0.5,0.0,0.0,0.0,0.0,0.0,0.66,0.208,0.34,0.139,0.32,0.069,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.66,0.208,0.74,0.225,0.417,0.182,0.0,0.0,,
conflicting_social_obligation,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.907,0.065,0.603,0.132,0.303,0.068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.104,0.82,0.092,,,1.0,0.0
conflicting_social_obligation,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.977,0.006,0.963,0.012,0.013,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.96,0.0,,,1.0,0.0
conflicting_social_obligation,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.973,0.006,0.977,0.006,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.006,0.957,0.006,,,1.0,0.0
conflicting_social_obligation,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.92,0.017,0.82,0.04,0.1,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.893,0.012,,,1.0,0.0
detour_commute_midroute_block,api_llm_direct_actor,3,0.55,0.173,0.75,0.217,0.492,0.274,0.51,0.321,0.18,0.104,0.33,0.218,0.25,0.217,0.667,0.577,0.0,0.0,1.0,0.0,0.25,0.217,0.559,0.382,1.0,0.0,0.167,0.289,0.333,0.577,0.0,0.0,0.507,0.337,0.223,0.125,0.667,0.577,,
detour_commute_midroute_block,api_llm_plan_then_act,3,0.85,0.0,0.7,0.087,0.595,0.073,0.697,0.127,0.53,0.219,0.167,0.093,0.3,0.087,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.087,0.534,0.074,0.0,0.0,0.3,0.087,1.0,0.0,0.013,0.015,0.827,0.092,0.6,0.121,1.0,0.0,,
detour_commute_midroute_block,api_llm_reactive_replanner,3,0.95,0.087,0.867,0.231,0.893,0.185,0.763,0.176,0.623,0.277,0.14,0.101,0.133,0.231,0.333,0.577,0.0,0.0,1.0,0.0,0.133,0.231,0.539,0.083,0.667,0.577,0.067,0.115,0.333,0.577,0.0,0.0,0.747,0.2,0.693,0.276,1.0,0.0,,
detour_commute_midroute_block,utility_planner,3,0.35,0.0,0.0,0.0,0.0,0.0,0.553,0.208,0.34,0.104,0.213,0.155,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.553,0.208,0.633,0.061,0.407,0.191,0.0,0.0,,
lunch_meeting_time_pressure,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.88,0.078,0.68,0.197,0.2,0.121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.046,0.807,0.162,,,1.0,0.0
lunch_meeting_time_pressure,api_llm_plan_then_act,3,0.85,0.26,1.0,0.0,0.85,0.26,0.927,0.025,0.853,0.067,0.073,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.01,0.913,0.042,,,0.667,0.577
lunch_meeting_time_pressure,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.85,0.075,0.56,0.193,0.29,0.121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.131,0.743,0.131,,,1.0,0.0
lunch_meeting_time_pressure,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.787,0.107,0.557,0.197,0.23,0.095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823,0.112,0.69,0.181,,,1.0,0.0
meeting_wait_trap,api_llm_direct_actor,3,0.55,0.0,1.0,0.0,0.55,0.0,0.773,0.05,0.227,0.092,0.547,0.11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873,0.051,0.293,0.067,,,0.5,0.0
meeting_wait_trap,api_llm_plan_then_act,3,0.7,0.26,1.0,0.0,0.7,0.26,0.807,0.046,0.407,0.121,0.4,0.087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847,0.012,0.653,0.117,,,0.667,0.289
meeting_wait_trap,api_llm_reactive_replanner,3,0.7,0.26,1.0,0.0,0.7,0.26,0.813,0.031,0.377,0.038,0.437,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.083,0.59,0.167,,,0.667,0.289
meeting_wait_trap,utility_planner,3,0.8,0.0,1.0,0.0,0.8,0.0,0.653,0.058,0.187,0.162,0.467,0.219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.061,0.543,0.091,,,0.5,0.0
memory_dependent_place_choice,api_llm_direct_actor,3,1.0,0.0,1.0,0.0,1.0,0.0,0.93,0.026,0.687,0.153,0.243,0.127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.977,0.006,0.847,0.061,,,1.0,0.0
memory_dependent_place_choice,api_llm_plan_then_act,3,1.0,0.0,1.0,0.0,1.0,0.0,0.967,0.006,0.61,0.528,0.357,0.531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.012,0.95,0.0,,,1.0,0.0
memory_dependent_place_choice,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.97,0.01,0.627,0.543,0.343,0.534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983,0.006,0.957,0.006,,,1.0,0.0
memory_dependent_place_choice,utility_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.923,0.021,0.74,0.035,0.183,0.025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937,0.021,0.88,0.044,,,1.0,0.0
school_pickup_social_detour,api_llm_direct_actor,3,0.8,0.0,0.444,0.096,0.444,0.077,0.867,0.114,0.603,0.313,0.263,0.214,0.556,0.096,0.333,0.577,0.0,0.0,1.0,0.0,0.556,0.096,0.895,0.182,1.0,0.0,0.444,0.096,1.0,0.0,0.422,0.033,0.87,0.165,0.693,0.271,,,0.5,0.0
school_pickup_social_detour,api_llm_plan_then_act,3,0.867,0.115,0.5,0.5,0.467,0.503,0.96,0.0,0.863,0.124,0.097,0.124,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.976,0.041,1.0,0.0,0.5,0.5,0.333,0.577,0.473,0.48,0.98,0.01,0.937,0.023,,,0.667,0.289
school_pickup_social_detour,api_llm_reactive_replanner,3,0.8,0.0,0.0,0.0,0.0,0.0,0.97,0.01,0.96,0.01,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.97,0.01,0.99,0.0,0.97,0.01,,,0.5,0.0
school_pickup_social_detour,utility_planner,3,0.8,0.0,0.0,0.0,0.0,0.0,0.523,0.17,0.213,0.058,0.31,0.113,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.523,0.17,0.46,0.174,0.26,0.069,,,0.5,0.0
unexpected_friend_encounter,api_llm_direct_actor,3,0.45,0.0,0.75,0.0,0.45,0.0,0.68,0.1,0.153,0.031,0.527,0.13,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.017,0.857,0.102,0.207,0.023,,,0.0,0.0
unexpected_friend_encounter,api_llm_plan_then_act,3,0.917,0.144,1.0,0.0,0.917,0.144,0.797,0.126,0.563,0.2,0.233,0.081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863,0.11,0.66,0.193,,,0.667,0.577
unexpected_friend_encounter,api_llm_reactive_replanner,3,1.0,0.0,1.0,0.0,1.0,0.0,0.797,0.029,0.46,0.333,0.357,0.318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.16,0.467,0.295,,,1.0,0.0
unexpected_friend_encounter,utility_planner,3,0.75,0.0,1.0,0.0,0.75,0.0,0.483,0.068,0.14,0.125,0.343,0.078,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.244,0.32,0.026,,,0.0,0.0
