repeat_id,scenario_id,family,agent_type,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,meeting_wait_trap,time_pressure,generative_agents_official_planner,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0,0,3,18.815,18151,,,{},,
1,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.35,0.625,0.219,,,,,0.375,0.0,0.0,1.0,0.375,1.0,1.0,0.5,0.375,0.0,,0,0,8,43.393,55952,,,"{""invalid_state_transition"": 3}",,
1,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,0.765,1.0,0.5,0.0,0.0,,0,0,1,13.06,9025,,,{},,
1,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.35,1.0,0.35,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,3,9.968,19482,,,"{""goal_drift"": 1}",,
1,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,0.8,0.75,0.6,,,,,0.25,0.0,0.0,1.0,0.25,1.0,1.0,0.5,0.25,1.0,,0,0,3,12.882,17465,,,"{""impossible_route"": 1}",,
1,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,0.812,1.0,0.5,0.0,0.0,,0,0,2,24.988,13490,,,{},,
2,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,0.0,,0,0,2,23.407,18204,,,{},,
2,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.7,0.5,0.35,,,,,0.5,0.0,0.0,1.0,0.5,1.0,1.0,,0.5,1.0,,0,0,5,14.661,33357,,,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",,
2,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.7,0.4,0.28,,,,,0.6,0.0,0.0,1.0,0.6,1.0,1.0,,0.6,1.0,,0,0,7,32.613,40211,,,"{""impossible_route"": 1, ""money_budget_failure"": 2}",,
2,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,0.7,0.143,0.1,,,,,0.857,0.0,0.0,1.0,0.857,1.0,1.0,,0.857,1.0,,0,0,12,94.405,83419,,,"{""money_budget_failure"": 5, ""time_budget_failure"": 1}",,
2,detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.867,1.0,,0.0,0.0,,1,1,2,15.276,18186,,,{},,
2,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.65,1.0,0.65,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.867,1.0,,0.0,0.0,,0,1,4,18.631,26345,,,{},,
2,detour_commute_midroute_block,disruption,generative_agents_official_planner,0.3,0.875,0.263,0.0,,,,0.125,0.0,0.0,1.0,0.125,0.619,1.0,,0.125,1.0,,0,0,5,32.54,29913,,,"{""closed_place_action"": 1}",,
2,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,0.65,0.75,0.488,0.0,,,,0.25,0.0,0.0,1.0,0.25,1.0,1.0,,0.25,0.0,,0,0,6,33.613,41068,,,"{""invalid_state_transition"": 1}",,
2,meeting_wait_trap,time_pressure,gatsim_official_planner,0.35,1.0,0.35,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0,0,2,17.266,18360,,,"{""goal_drift"": 1}",,
2,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.55,1.0,0.55,,,,,0.0,0.0,0.0,1.0,0.0,0.808,1.0,0.5,0.0,0.0,,0,0,8,37.452,54409,,,{},,
2,meeting_wait_trap,time_pressure,generative_agents_official_planner,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,,0,0,3,40.631,18221,,,{},,
2,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.8,0.75,0.6,,,,,0.25,0.0,0.0,1.0,0.25,0.568,1.0,1.0,0.25,1.0,,0,0,6,170.129,41936,,,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",,
2,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,0.765,1.0,0.5,0.0,0.0,,0,0,1,10.551,8993,,,{},,
2,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.35,1.0,0.35,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,4,10.658,26012,,,"{""goal_drift"": 1}",,
2,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,1,48.676,6545,,,{},,
2,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,0.35,1.0,0.35,,,,,0.0,0.0,0.0,1.0,0.0,0.812,1.0,0.5,0.0,0.0,,0,0,2,138.952,13568,,,"{""goal_drift"": 1}",,
3,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.565,1.0,,0.0,0.0,,0,0,2,18.274,18241,,,{},,
3,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.7,0.5,0.35,,,,,0.5,0.0,0.0,1.0,0.5,0.481,1.0,,0.5,1.0,,0,0,6,18.761,39875,,,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""time_budget_failure"": 1}",,
3,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.7,0.286,0.2,,,,,0.714,0.0,0.0,1.0,0.714,1.0,1.0,,0.714,1.0,,0,0,11,58.87,63439,,,"{""impossible_route"": 1, ""money_budget_failure"": 4}",,
3,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,0.7,0.375,0.262,,,,,0.625,0.0,0.0,1.0,0.625,1.0,1.0,,0.625,1.0,,0,0,12,100.543,83892,,,"{""invalid_state_transition"": 1, ""money_budget_failure"": 4}",,
3,detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.867,1.0,,0.0,0.0,,1,1,2,27.589,18258,,,{},,
3,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.45,1.0,0.45,0.0,,,,0.0,0.0,0.0,1.0,0.0,0.4,1.0,,0.0,0.0,,0,0,6,28.012,39606,,,"{""goal_drift"": 1}",,
3,detour_commute_midroute_block,disruption,generative_agents_official_planner,0.65,0.75,0.488,0.0,,,,0.25,0.0,0.0,1.0,0.25,0.634,1.0,,0.25,0.0,,0,0,3,18.545,18043,,,"{""time_budget_failure"": 1}",,
3,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,0.65,0.8,0.52,0.0,,,,0.2,0.0,0.0,1.0,0.2,1.0,1.0,,0.2,0.0,,0,0,6,59.659,41267,,,"{""invalid_state_transition"": 1}",,
3,meeting_wait_trap,time_pressure,gatsim_official_planner,0.35,1.0,0.35,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,0,0,2,15.145,18258,,,"{""goal_drift"": 1}",,
3,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.55,1.0,0.55,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,8,29.913,54005,,,{},,
3,meeting_wait_trap,time_pressure,generative_agents_official_planner,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,3,14.355,18048,,,{},,
3,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.8,0.75,0.6,,,,,0.25,0.0,0.0,1.0,0.25,0.568,1.0,1.0,0.25,1.0,,0,0,8,52.565,56085,,,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",,
3,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,1,29.519,8903,,,{},,
3,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.35,1.0,0.35,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,4,10.556,26014,,,"{""goal_drift"": 1}",,
3,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,0.8,0.75,0.6,,,,,0.25,0.0,0.0,1.0,0.25,1.0,1.0,0.5,0.25,1.0,,0,0,3,13.428,17579,,,"{""impossible_route"": 1}",,
3,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,0.8,1.0,0.8,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,,0,0,2,12.73,13459,,,{},,
