"paper_id","title","year","venue","url","doi","authors","old_current_tier","old_r1_tier","old_r1_decision","old_exclusion","match_families","rescreen_priority","rescreen_reason","abstract"
"doi-2fd2eb0db3","Autonomous GIS: the next-generation AI-powered GIS","2023","International Journal of Digital Earth","https://doi.org/10.1080/17538947.2023.2278895","10.1080/17538947.2023.2278895","Zhenlong Li; Huan Ning","adjacent","adjacent","keep","","online_community_network;urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Large Language Models (LLMs), such as ChatGPT, demonstrate a strong understanding of human natural language and have been explored and applied in various fields, including reasoning, creative writing, code generation, translation, and information retrieval.By adopting LLM as the reasoning core, we introduce Autonomous GIS as an AI-powered geographic information system (GIS) that leverages the LLM's general abilities in natural language understanding, reasoning, and coding for addressing spatial problems with automatic spatial data collection, analysis, and visualization.We envision that autonomous GIS will need to achieve five autonomous goals: self-generating, self-organizing, selfverifying, self-executing, and self-growing.We developed a prototype system called LLM-Geo using the GPT-4 API, demonstrating what an autonomous GIS looks like and how it delivers expected results without human intervention using three case studies.For all case studies, LLM-Geo returned accurate results, including aggregated numbers, graphs, and maps..Although still in its infancy and lacking several important modules such as logging and code testing, LLM-Geo demonstrates a potential path toward the next-generation AI-powered GIS.We advocate for the GIScience community to devote more efforts to the research and development of autonomous GIS, making spatial analysis easier, faster, and more accessible to a broader audience."
"doi-90f5fdfa6b","Building Problem Spaces for Deaf and Hard of Hearing Students’ Spatial Cognition in a Programming Language","2009","Lecture notes in computer science","https://doi.org/10.1007/978-3-642-02713-0_18","10.1007/978-3-642-02713-0_18","Nobuhito Yamamoto; Tomoyuki Nishioka; Syoko Shiroma","foundational","excluded","exclude","","urban_mobility_crowd_built;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.",""
"doi-83a06dd2d9","Can Large Language Models be Good Path Planners? A Benchmark and Investigation on Spatial-temporal Reasoning","2023","arXiv (Cornell University)","http://arxiv.org/abs/2310.03249","10.48550/arxiv.2310.03249","Mohamed Aghzal; Erion Plaku; Ziyu Yao","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Large language models (LLMs) have achieved remarkable success across a wide spectrum of tasks; however, they still face limitations in scenarios that demand long-term planning and spatial reasoning. To facilitate this line of research, in this work, we propose a new benchmark, termed $\textbf{P}$ath $\textbf{P}$lanning from $\textbf{N}$atural $\textbf{L}$anguage ($\textbf{PPNL}$). Our benchmark evaluates LLMs' spatial-temporal reasoning by formulating ''path planning'' tasks that require an LLM to navigate to target locations while avoiding obstacles and adhering to constraints. Leveraging this benchmark, we systematically investigate LLMs including GPT-4 via different few-shot prompting methodologies as well as BART and T5 of various sizes via fine-tuning. Our experimental results show the promise of few-shot GPT-4 in spatial reasoning, when it is prompted to reason and act interleavedly, although it still fails to perform long-term temporal reasoning. In contrast, while fine-tuned LLMs achieved impressive results on in-distribution reasoning tasks, they struggled to generalize to larger environments or environments with more obstacles."
"doi-eb4ec4fce2","Can Large Language Models Create New Knowledge for Spatial Reasoning Tasks?","2024","arXiv (Cornell University)","http://arxiv.org/abs/2405.14379","10.48550/arxiv.2405.14379","Thomas Greatrix; Roger M. Whitaker; Liam D. Turner; Walter Colombo","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","The potential for Large Language Models (LLMs) to generate new information offers a potential step change for research and innovation. This is challenging to assert as it can be difficult to determine what an LLM has previously seen during training, making ""newness"" difficult to substantiate. In this paper we observe that LLMs are able to perform sophisticated reasoning on problems with a spatial dimension, that they are unlikely to have previously directly encountered. While not perfect, this points to a significant level of understanding that state-of-the-art LLMs can now achieve, supporting the proposition that LLMs are able to yield significant emergent properties. In particular, Claude 3 is found to perform well in this regard."
"doi-17fdce4812","Compositional and urban form effects on centres in Greater London","2012","Proceedings of the Institution of Civil Engineers - Urban Design and Planning","https://doi.org/10.1680/udap.2012.165.1.21","10.1680/udap.2012.165.1.21","Alain Chiaradia; Bill Hillier; Christian Schwander; Martin Wedderburn","foundational","foundational","keep","","urban_mobility_crowd_built;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","In recent years spatial economics has focused on the spatial location of economic activities and its determinants. At the city-region level, a significant part of the analysis has been concerned with the concept of agglomeration as a source of economies of scale, productivity growth and the role of transport: the spatial accessibility economies. Using space syntax spatial analyses, the socio-economic and spatial patterns of ten centres located in inner and outer London are analysed. Empirical evidence of the relationship between multi-scale spatial accessibilities and movement economies, as dependent on spatial configuration, is well charted in the space syntax literature. The findings show that centres have specific spatial configuration signatures, which distinguish centres from their spatial context. These signatures lead to the identification of centre spatial factor components. The interaction between socio-economic compositional effect and spatial signature profiles is investigated and leads to preliminary centre socio-economic/spatial typologies and a value model."
"doi-40f0332bc8","Designing a Liveable Compact City: Physical Forms of City and Social Life in Urban Neighbourhoods","2010","Built Environment","https://doi.org/10.2148/benv.36.1.63","10.2148/benv.36.1.63","Shibu Raman","foundational","foundational","keep","","online_community_network;urban_mobility_crowd_built","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","This paper reports findings from recent research examining the relationship between urban design and layout and aspects of social and communal life in urban neighbourhoods. To address this, six UK neighbourhoods of varying densities and layouts were selected for detailed investigation. Data on social interactions, social activities and social networks along with perceptions of the built and social environment of the neighbourhoods were collected through observations, questionnaire surveys and secondary data sources. Neighbourhood design and layout were analysed using spatial network and visibility graph analysis methods. Correlation and multiple regression tests were conducted to test the claimed associations. Findings indicate differences between socializing patterns and structure of social networks in high- and low-density areas. Low-density areas were associated with widely spread social networks and activities with very few strong relationships. In high-density neighbourhoods, respondents had small networks but stronger ties were found. Detailed investigation shows that much of this can be attributed to, among other physical factors: the location of public spaces, visibility from and to these spaces, visual links between neighbourhoods', typology and physical form of development rather than density alone. This indicates that some of the negative social impacts found within high-density urban development might be rectified with better design of neighbourhoods. It is clear that to deliver sustainable development, the compact city will have to be designed with specific spatial and built environment characteristics."
"doi-9cbb83c458","Distortions in Judged Spatial Relations in Large Language Models","2024","The Professional Geographer","https://doi.org/10.1080/00330124.2024.2372792","10.1080/00330124.2024.2372792","Nir Fulman; Abdulkadir Memduhoğlu; Alexander Zipf","adjacent","adjacent","keep","","online_community_network;urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","We present a benchmark for assessing the capability of large language models (LLMs) to discern intercardinal directions between geographic locations and apply it to three prominent LLMs: GPT-3.5, GPT-4, and Llama-2. This benchmark specifically evaluates whether LLMs exhibit a hierarchical spatial bias similar to humans, where judgments about individual locations' spatial relationships are influenced by the perceived relationships of the larger groups that contain them. To investigate this, we formulated fourteen questions focusing on well-known U.S. cities. Seven questions were designed to challenge the LLMs with scenarios potentially influenced by the orientation of larger geographical units, such as states or countries, whereas the remaining seven targeted locations were less susceptible to such hierarchical categorization. Among the tested models, GPT-4 exhibited superior performance with 55 percent accuracy, followed by GPT-3.5 at 47 percent and Llama-2 at 45 percent. The models showed significantly reduced accuracy on tasks with suspected hierarchical bias. For example, GPT-4's accuracy dropped to 33 percent on these tasks, compared to 86 percent on others. The models identified the nearest cardinal direction in most cases, however, reflecting their associative learning mechanism, thereby embodying human-like misconceptions. We discuss avenues for improving the spatial reasoning capabilities of LLMs."
"doi-03de73bb0c","Distributing Pedestrians in a Virtual Environment","2007","2007 International Conference on Cyberworlds (CW'07)","https://doi.org/10.1109/cw.2007.9","10.1109/cw.2007.9","Murat Haciömeroğlu; Robert G. Laycock; Andy M. Day","foundational","foundational","keep","","urban_mobility_crowd_built;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Distributing a collection of virtual humans throughout a large urban environment, where limited semantic information is available, poses a problem when attempting to create a visually realistic real time environment. Randomly positioning agents within an urban environment will not cover the environment with virtual humans in a plausible way. For example, areas of the urban space that are more frequently used should have a higher population density both at the start and during the simulation. It is infeasible to manually identify areas in the urban environment which should be crowded or sparsely populated when considering a scalable method, suitable for large environments. Consequently, this paper combines and extends techniques from spatial analysis and virtual agent behaviour simulations to develop a system capable of automatically distributing pedestrians in an urban environment. In particular, it extends the pointbased space syntax technique to enable the automatic analysis of a large urban environment in the presence of limited contextual information. This analysis specifies a set of population densities for areas in the environment and these values are used to initialise the locations of all the virtual humans in the environment. In addition to the initialisation stage the population densities in each area are consulted to ensure that the correct distribution of virtual humans is maintained throughout the simulation. The system is tested on an arbitrary section of a real city and comparisons of the characteristic parts of the test environment are correlated with the pedestrian movements."
"doi-bee878a1cc","E²BA: Environment Exploration and Backtracking Agent for Visual Language Object Navigation","2025","IEEE Transactions on Circuits and Systems for Video Technology","https://doi.org/10.1109/tcsvt.2025.3531410","10.1109/tcsvt.2025.3531410","Yuhong Shi; Jianyi Liu; Lihang Sun; Xinhu Zheng","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Robot navigation in an unknown environment is a challenging task, due to the lack of spatial awareness and semantic understanding of the environment. Previous works predominantly relied on prior scene knowledge and semantic information, lacking generalization and transferability. This paper proposes an environment exploration and backtracking agent (E2BA) for visual language object navigation, which leverages the rich semantic prior knowledge and commonsense reasoning of large language models (LLMs) to explore the environment and find the object. By fusing LLM scores and spatial geometric costs using particle filters, we select a redefined optimal frontier as sub-goal for environment exploration. To avoid redundant exploration and paths, we design a backtracking discriminator to evaluate the state of the agent and determine the timing of backtracking triggering through a double-level cascade mechanism. Additionally, we design a random instruction fuzzy semantic guessing task to verify the application diversity of this method. Comprehensive experiments on the Habitat-Matterport 3D dataset show that our method achieves a success rate of 0.704, which is higher than the existing baseline method. This study explores the potential application of LLMs in environment exploration without the need for additional training and semantic supplementation."
"doi-6aecd7a45b","Euclid's Gift: Enhancing Spatial Perception and Reasoning in Vision-Language Models via Geometric Surrogate Tasks","2025","ArXiv.org","http://arxiv.org/abs/2509.24473","10.48550/arxiv.2509.24473","Shijie Lian; Changti Wu; Laurence T. Yang; Hang Yuan; B. X. Yu; Lei Zhang; Kai Chen","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Spatial intelligence spans a rich suite of abilities, including visualising and transforming shapes, mentally rotating objects, judging relational positions and containment, and estimating numerosity. However, it still remains a critical unresolved challenge for Multimodal Large Language Models (MLLMs). To fill this gap, we propose to treat Euclidean geometry problem-solving as a surrogate task. Specifically, we meticulously constructed a curated multimodal dataset, called Euclid30K, comprising approximately 30K plane and solid geometry problems. Furthermore, to enable the model to learn and apply Euclidean principles from these geometry problems, we fine-tuned seven model variants (spanning 3--72B parameters) from the Qwen2.5VL, Qwen3VL, and RoboBrain2.0 families using Group Relative Policy Optimization (GRPO), inspiring the models to identify shapes, count, and relate entities, and perform multi-step deductive reasoning using Euclidean principles. Our experiments demonstrate that the resulting models achieve substantial zero-shot gains across four spatial reasoning benchmarks (Super-CLEVR, Omni3DBench, VSI-Bench, and MindCube) without any task-specific adaptations. Notably, after training on the Euclid30K, the mean VSI-Bench accuracy rose from 36.6\% to 41.8\% (+5.2\%), and the mean MindCube accuracy rose from 31.4\% to 38.1\% (+6.7\%). To our knowledge, this is the first systematic study showing that geometry-centric fine-tuning can confer vision-language models with broadly transferable spatial skills. Code and Euclid30K dataset can be found in \href{https://zgca-ai4edu.github.io/Euclids_Gift}{this}."
"doi-9f5e1c0657","Evacuation Behaviour Prediction Through Space Syntax-Based Agent Simulation at Sentra Tahu Cibuntu Bandung","2025","IOP Conference Series Earth and Environmental Science","https://doi.org/10.1088/1755-1315/1459/1/012010","10.1088/1755-1315/1459/1/012010","Dwi Kustianingrum; Ratu Sonya Mentari Haerdy","foundational","foundational","keep","","urban_mobility_crowd_built;l4_graph_topology","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Abstract The development of the theory of spatial syntax is currently being employed in a number of different contexts, including the creation of evacuation plans. In order to predict the movement and utilisation of individuals within buildings and urban environments, space syntax derives a set of analytical measures pertaining to the configuration of streets. In this research, space syntax theory is employed as the foundation for simulating agents in the context of fire evacuation and wayfinding in segregated spaces in informal settlements that evolve spontaneously and incrementally. The research sample was the Sentra Tahu Cibuntu (Cibuntu Tofu Center). This is an informal settlement with an unplanned spatial configuration. The method employed is a space syntax-based agent simulation utilising DepthMapX 0.8 software in the most segregated area. The objective is to predict evacuation pathways in areas susceptible to natural disasters, crime, and health-related hazards. The findings demonstrate that residents consistently gravitate towards open areas. In this context, open spaces emerge as generators of human movement based on their visual perspective."
"doi-95f507537a","Exploring and Improving the Spatial Reasoning Abilities of Large Language Models","2023","arXiv (Cornell University)","http://arxiv.org/abs/2312.01054","10.48550/arxiv.2312.01054","M. Sharma","adjacent","adjacent","keep","","urban_mobility_crowd_built;embodied_3d_cooperation","high","Potential widened bridge_core or representation-balance candidate under 2026-04-27 rules.","Large Language Models (LLMs) represent formidable tools for sequence modeling, boasting an innate capacity for general pattern recognition. Nevertheless, their broader spatial reasoning capabilities, especially applied to numerical trajectory data, remain insufficiently explored. In this paper, we investigate the out-of-the-box performance of ChatGPT-3.5, ChatGPT-4 and Llama 2 7B models when confronted with 3D robotic trajectory data from the CALVIN baseline and associated tasks, including 2D directional and shape labeling. Additionally, we introduce a novel prefix-based prompting mechanism, which yields a 33% improvement on the 3D trajectory data and an increase of up to 10% on SpartQA tasks over zero-shot prompting (with gains for other prompting types as well). The experimentation with 3D trajectory data offers an intriguing glimpse into the manner in which LLMs engage with numerical and spatial information, thus laying a solid foundation for the identification of target areas for future enhancements."
