audit_id,image_filename,source,zip_member,zip_crc32,zip_uncompressed_bytes,audit_copy
WC-AUD-040,Q207985_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q207985_wd0.jpg,0f7ff748,263670,WC-AUD-040.jpg
WC-AUD-041,Q505065_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q505065_wd0.jpg,6d04f5ff,1454857,WC-AUD-041.jpg
WC-AUD-042,Q2034923_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2034923_wd0.jpg,7d012858,1541774,WC-AUD-042.jpg
WC-AUD-043,Q206823_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q206823_wd0.jpg,e06d6d3e,1856544,WC-AUD-043.jpg
WC-AUD-044,Q719794_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q719794_wd0.jpg,11ae3efe,649707,WC-AUD-044.jpg
WC-AUD-045,Q2315800_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2315800_wd0.jpg,c7c8c74a,49366,WC-AUD-045.jpg
WC-AUD-046,Q674472_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q674472_wd0.jpg,9e3d4186,831970,WC-AUD-046.jpg
WC-AUD-047,Q3585324_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q3585324_wd0.jpg,d52fe5bf,1089275,WC-AUD-047.jpg
WC-AUD-048,Q3670352_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q3670352_wd0.jpg,3a735e82,600881,WC-AUD-048.jpg
WC-AUD-049,Q106934_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q106934_wd0.jpg,3f301f8d,2331234,WC-AUD-049.jpg
WC-AUD-050,Q2713844_wd0.jpg,https://zenodo.org/api/records/5166987/files/images.zip/content,images/Q2713844_wd0.jpg,cd5cea00,1251191,WC-AUD-050.jpg
