repeat_id,scenario_id,family,agent_type,task_completion,goal_completion,trace_feasibility,intention_consistency,replanning_success,judge_face_plausibility,judge_trace_believability,face_believability_gap,impossible_trace_rate,done_state_loop_rate,social_derailment_rate,constraint_satisfaction,process_success,plan_plausibility,plausibility_feasibility_gap,travel_efficiency,budget_consistency,social_appropriateness,feasibility_violation,city_false_continue,face_feasibility_gap,route_interruption_count,verified_replan_count,llm_calls,llm_latency_seconds,llm_total_tokens,judge_rationale_alignment,judge_urban_common_sense,failure_taxonomy,judge_main_issue,judge_brief_reason
1,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.0,0.55,1.0,0.55,,0.48,0.12,0.36,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,4,26.5,26751,0.35,0.22,"{""goal_drift"": 1}",aimless detour and premature stop,"The route moves through plausible urban locations, but the trace never approaches school pickup and then loops/stops at the diner, which makes the overall behavior inconsistent with the stated caregiver goal."
1,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,1.0,0.8,0.8,,0.18,0.05,0.13,0.2,0.0,0.0,1.0,,1.0,0.2,1.0,1.0,1.0,0.2,1.0,0.0,0,0,3,26.695,18499,0.12,0.14,"{""impossible_route"": 1}",adapter-driven idle dwell,"The trace does not behave like a real city decision process: it ignores the social detour, shows zero-time moves, then idles for an hour at school before finishing, which breaks the stated goal and timing logic."
1,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.98,0.91,0.07,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,2,12.92,13514,0.99,0.96,{},none,"The trace is a straightforward rush-hour pickup with no detour, and the stated reasons match the actions and complete the goal well before the deadline."
2,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.74,0.32,0.42,0.0,0.0,0.0,1.0,,1.0,0.0,0.565,1.0,,0.0,0.0,0.0,0,0,2,15.676,18836,0.41,0.58,{},planner-script drift,"Starting at a bookstore instead of the closed library is plausible, and the 50-minute dwell fits the goal, but the later plaza detour and finish read like an ungrounded scripted sequence rather than ordinary city behavior."
2,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.5,0.7,0.6,0.42,,0.78,0.44,0.34,0.4,0.0,0.0,1.0,,1.0,0.4,1.0,1.0,,0.4,1.0,0.18,0,0,6,22.413,41779,0.32,0.71,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",unjustified closed-library entry,"The replacement choice is plausible, but the trace starts by moving to the closed library and later includes a redundant bookstore enter/dwell sequence that weakens the overall behavior."
2,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.5,0.7,0.571,0.4,,0.86,0.62,0.24,0.429,0.0,0.0,1.0,,1.0,0.429,0.929,1.0,,0.429,1.0,0.289,0,0,7,36.191,41995,0.18,0.84,"{""money_budget_failure"": 3}",generic adapter reasons,"The movement to a bookstore then coworking is a plausible replacement for a closed library, but the trace does not actually express the agent’s stated reasoning and the final focus block is split across two dwell actions."
2,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,0.5,0.7,0.5,0.35,,0.93,0.74,0.19,0.5,0.0,0.0,1.0,,1.0,0.5,0.388,1.0,,0.5,1.0,0.43,0,0,6,35.283,42831,0.98,0.9,"{""money_budget_failure"": 2, ""time_budget_failure"": 1}",late venue switch and redundant steps,"The actions read like a reasonable city fallback from a closed library to nearby quiet work spots, though the sequence is a bit inefficient and drifts by adding a second venue after already completing the main work block."
2,detour_commute_midroute_block,disruption,gatsim_official_planner,1.0,0.8,1.0,0.8,0.0,0.74,0.28,0.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.4,1.0,,0.0,0.0,0.0,1,0,2,16.226,18816,0.18,0.31,{},template-like route drift,"The commute path is superficially plausible, but the reasons are generic and the sequence ignores the disruption logic, with an odd park detour that feels scripted rather than like a realistic replan."
2,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.0,0.65,1.0,0.65,1.0,0.45,0.18,0.27,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.867,1.0,,0.0,0.0,0.0,0,1,3,10.457,20626,0.1,0.4,"{""goal_drift"": 1}",ignores service alert and uses blocked route,"The commute is superficially normal, but the trace has Aria reach the office through the transit hub after the alert that blocks that edge, so the full behavior does not read as a believable disruption response."
2,detour_commute_midroute_block,disruption,generative_agents_official_planner,0.0,0.5,0.875,0.438,1.0,0.18,0.12,0.06,0.125,0.0,0.0,0.667,1.0,1.0,0.125,0.456,1.0,,0.125,1.0,0.0,0,1,5,36.244,31306,0.02,0.15,"{""impossible_route"": 1}",adapter-like nonsensical routing,The trace reads like a generic adapter dump with repetitive 'official adapter action' reasons and a physically dubious route that appears to ignore the scenario's blocked hub-to-office edge.
2,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,1.0,0.85,0.75,0.637,1.0,0.96,0.42,0.54,0.25,0.0,0.0,0.667,1.0,1.0,0.25,0.867,1.0,,0.25,0.0,0.21,0,1,6,37.105,42837,0.85,0.58,"{""invalid_state_transition"": 1}",route ignored after alert,"The commuter response sounds reasonable at a surface level, but the trace still moves from the blocked transit hub to the office without a believable alternate path, so the full sequence feels weak despite decent local reasoning."
2,meeting_wait_trap,time_pressure,gatsim_official_planner,0.0,0.35,1.0,0.35,,0.12,0.02,0.1,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,24.016,9204,0.15,0.08,"{""goal_drift"": 1}",no actual action taken,"The trace stops immediately with no movement, message, or meeting attempt, so it does not resemble a believable lunch coordination sequence."
2,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,0.82,0.28,0.54,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,10,44.557,71437,0.74,0.63,"{""goal_drift"": 1}",repetitive message loop,"The plan to confirm Ben’s lunch spot and head to a cafe is locally reasonable, but the trace gets stuck sending nearly identical messages instead of converging on a meeting or choosing a fallback."
2,meeting_wait_trap,time_pressure,generative_agents_official_planner,0.308,0.35,0.556,0.194,,0.78,0.41,0.37,0.444,0.0,0.0,0.429,,1.0,0.444,0.955,1.0,0.5,0.444,1.0,0.224,0,0,7,39.714,43380,0.72,0.64,"{""money_budget_failure"": 4}",coordination drift and waiting trap,"The actions sound like a reasonable lunch coordination attempt at first, but the trace drifts into repeated waiting and a late move that misses the narrow meeting window, so the full behavior is only moderately believable."
2,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.308,0.35,0.571,0.2,,0.85,0.36,0.49,0.429,0.0,0.0,0.429,,1.0,0.429,1.0,1.0,0.5,0.429,0.0,0.279,0,0,10,54.964,72297,0.83,0.72,"{""invalid_state_transition"": 3}",repeated waiting without coordination,"The plan sounds locally realistic for a lunch meetup, but the trace spends too long dwelling and re-messaging at the cafe instead of actually adapting to Ben's response or changing location, so the overall behavior looks stalled."
2,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.18,0.05,0.13,0.0,0.0,0.0,1.0,,1.0,0.0,0.464,1.0,1.0,0.0,0.0,0.0,0,0,1,8.797,9243,0.12,0.14,{},scripted planner drift,"The trace reads like a generic GATSim script that ignores the school-pickup deadline and the social detour, then ends at home instead of handling the stated caregiving task."
2,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.0,0.55,0.667,0.367,,0.92,0.42,0.5,0.333,0.0,0.0,1.0,,1.0,0.333,1.0,1.0,1.0,0.333,0.0,0.253,0,0,4,15.185,27391,0.95,0.61,"{""invalid_state_transition"": 1}",unused social detour,"The move to school and immediate pickup are locally sensible, but the trace ignores the tempting friend detour and ends unusually early without any social choice or rush-hour tradeoff."
2,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,1.0,0.8,0.8,,0.91,0.28,0.63,0.2,0.0,0.0,1.0,,1.0,0.2,1.0,1.0,1.0,0.2,1.0,0.11,0,0,3,16.189,18457,0.67,0.88,"{""impossible_route"": 1}",adapter-like nonbehavioral trace,"The sequence of going to school and completing pickup is locally sensible, but the repeated generic adapter actions, zero-minute move, and early termination make the full trace look like a placeholder rather than believable city behavior."
2,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.97,0.93,0.04,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,2,9.542,13921,0.98,0.95,{},none,"The agent promptly prioritizes school pickup, reaches school well before the deadline, and the stated reasons match the actions without any unrealistic detour or commitment drift."
3,closed_study_spot_replacement,poi_closure,gatsim_official_planner,1.0,1.0,0.875,0.875,,0.74,0.41,0.33,0.125,0.0,0.0,1.0,,1.0,0.125,0.388,1.0,,0.125,0.0,0.0,0,0,2,15.584,18821,0.52,0.61,"{""time_budget_failure"": 1}",goal drift and odd repetition,"Starting at the bookstore as a quiet replacement is plausible, but the trace then repeats the same work block at a second venue with generic planner language and an implausible money/service pattern, which weakens the full-sequence behavior."
3,closed_study_spot_replacement,poi_closure,sotopia_official_llm_agent,0.5,0.7,0.5,0.35,,0.83,0.48,0.35,0.5,0.0,0.0,1.0,,1.0,0.5,1.0,1.0,,0.5,1.0,0.33,0,0,5,20.886,34863,0.32,0.79,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1}",label-like filler actions,"The overall choice to switch from a closed library to a quiet bookstore is plausible, but the trace is weakened by repeated no-op enter/dwell steps and reasons that do not actually explain the actions."
3,closed_study_spot_replacement,poi_closure,generative_agents_official_planner,0.5,0.7,0.5,0.35,,0.94,0.79,0.15,0.5,0.0,0.0,1.0,,1.0,0.5,1.0,1.0,,0.5,1.0,0.44,0,0,5,29.022,30182,0.92,0.88,"{""money_budget_failure"": 2}",no explicit reasoned adaptation,"The trace is a plausible response to the library closure: Aria goes to a nearby quiet bookstore, stays there long enough to work, and does not violate the closed-library constraint, though the sequence is generic and lacks any explicit planning detail."
3,closed_study_spot_replacement,poi_closure,agentsociety_official_plan_blocks,1.0,1.0,0.8,0.8,,0.92,0.78,0.14,0.2,0.0,0.0,1.0,,1.0,0.2,1.0,1.0,,0.2,1.0,0.12,0,0,6,34.153,42848,0.83,0.9,"{""money_budget_failure"": 1}",redundant buy and finish sequence,"The trace mostly resembles a plausible fallback to a quiet bookstore for focused work, but it wastes steps on an unexplained purchase and then ends early after only one clearly completed work block."
3,detour_commute_midroute_block,disruption,gatsim_official_planner,0.0,0.3,0.875,0.263,0.0,0.84,0.18,0.66,0.125,0.0,0.0,0.667,0.0,1.0,0.125,0.325,1.0,,0.125,1.0,0.0,1,0,3,24.631,28846,0.76,0.32,"{""closed_place_action"": 1}",plan drift and missed destination,"The route changes are locally plausible as a detour, but the trace wanders through unrelated stops and ends at a cafe instead of reaching the office or responding clearly to the alert."
3,detour_commute_midroute_block,disruption,sotopia_official_llm_agent,0.0,0.65,1.0,0.65,1.0,0.77,0.22,0.55,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.867,1.0,,0.0,0.0,0.0,0,1,3,12.282,20626,0.18,0.28,"{""goal_drift"": 1}",ignores the service alert,"The commute setup is plausible, but the trace has Aria go through the transit hub after the blockage is announced and finish without any rerouting or reaction, which makes the full behavior hard to باور as urban commuting."
3,detour_commute_midroute_block,disruption,generative_agents_official_planner,1.0,0.65,0.75,0.488,0.0,0.55,0.18,0.37,0.25,0.0,0.0,0.667,0.0,1.0,0.25,0.4,1.0,,0.25,1.0,0.0,0,0,7,42.682,42631,0.05,0.22,"{""closed_place_action"": 1, ""impossible_route"": 1}",unexplained looping and placeholder reasoning,"The route choice is broadly plausible for a disrupted commute, but the trace repeatedly stalls or duplicates moves and the stated reasons do not explain any real replanning, making the full sequence hard to believe."
3,detour_commute_midroute_block,disruption,agentsociety_official_plan_blocks,0.0,0.3,0.667,0.2,0.0,0.88,0.46,0.42,0.333,0.0,0.0,0.667,0.0,1.0,0.333,1.0,1.0,,0.333,0.0,0.213,0,0,6,36.883,42817,0.72,0.63,"{""invalid_state_transition"": 1}",overly scripted wait for alert,"The detour to the transit hub and then rerouting to the office is plausible, but the trace looks mechanically scripted because Aria simply waits out the blockage at the hub instead of showing any real replan behavior or decision-making."
3,meeting_wait_trap,time_pressure,gatsim_official_planner,0.0,0.15,0.833,0.125,,0.62,0.18,0.44,0.167,0.0,0.0,0.429,,1.0,0.167,0.25,1.0,0.0,0.167,0.0,0.0,0,0,2,19.3,18885,0.72,0.41,"{""time_budget_failure"": 1}",goal-drifting loop,"The moves between office and quiet cafe are individually plausible, but the full trace repeatedly oscillates without coordinating with Ben or landing the meeting within the time window."
3,meeting_wait_trap,time_pressure,sotopia_official_llm_agent,0.308,0.55,1.0,0.55,,0.88,0.34,0.54,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0,0,10,45.257,71712,0.92,0.78,"{""goal_drift"": 1}",repetitive non-progressive messaging,"The individual messages are sensible coordination attempts, but the full trace loops on asking for confirmation while Aria never leaves the office or reaches the meeting window, so the behavior drifts away from a believable lunch meeting outcome."
3,meeting_wait_trap,time_pressure,generative_agents_official_planner,0.308,0.35,0.667,0.233,,0.89,0.58,0.31,0.333,0.0,1.0,0.429,,1.0,0.333,0.568,1.0,0.5,0.333,1.0,0.223,0,0,5,28.571,30963,0.78,0.84,"{""invalid_state_transition"": 1, ""money_budget_failure"": 1, ""social_derailment"": 1, ""time_budget_failure"": 1}",meeting drift and over-waiting,"The actions sound like a reasonable lunch coordination attempt, but the sequence drifts into unnecessary movement and waiting, reducing confidence that it cleanly achieves the narrow meeting objective."
3,meeting_wait_trap,time_pressure,agentsociety_official_plan_blocks,0.308,0.35,0.6,0.21,,0.86,0.34,0.52,0.4,0.0,0.0,0.429,,1.0,0.4,0.568,1.0,0.5,0.4,1.0,0.26,0,0,10,59.056,72735,0.78,0.74,"{""invalid_state_transition"": 3, ""time_budget_failure"": 1}",waiting-loop and missed window,"The actions sound like a reasonable lunch-meeting plan at first, but the sequence devolves into repeated waiting and redundant messages, then misses the coordination window before drifting to a late fallback move."
3,school_pickup_social_detour,social_spatial_tradeoff,gatsim_official_planner,1.0,1.0,1.0,1.0,,0.22,0.08,0.14,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,1,8.58,9204,0.18,0.12,{},detour to direct school service,"The trace reads like a planner mechanically jumping to the school and completing a service, but it ignores the social detour, timing pressure, and the caregiver constraint, so the full behavior is not believable urban action."
3,school_pickup_social_detour,social_spatial_tradeoff,sotopia_official_llm_agent,0.0,0.55,1.0,0.55,,0.84,0.22,0.62,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,3,9.741,20448,0.93,0.58,"{""goal_drift"": 1}",premature finish at school,"The move sequence is locally reasonable for leaving work and reaching school, but it stops far too early and never shows the pickup or any handling of the social detour, so the full trace is not believable as completed city behavior."
3,school_pickup_social_detour,social_spatial_tradeoff,generative_agents_official_planner,1.0,1.0,0.875,0.875,,0.84,0.31,0.53,0.125,0.0,0.0,1.0,,1.0,0.125,0.812,1.0,1.0,0.125,0.0,0.0,0,0,3,21.367,18723,0.34,0.66,"{""invalid_state_transition"": 1}",generic adapter-driven detour,"The sequence has a plausible brief social stop before pickup, but the reasons are placeholder-like and the trace feels mechanically routed rather than motivated by Aria's stated priorities."
3,school_pickup_social_detour,social_spatial_tradeoff,agentsociety_official_plan_blocks,1.0,1.0,1.0,1.0,,0.96,0.52,0.44,0.0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,2,11.212,13987,0.98,0.9,{},overly clean execution,"The stated priority and actions match the caregiver scenario well, but the trace is suspiciously direct and lacks the expected social detour tension or any decision pressure from Ben."
