label,repeat,method,positive_count,train_positive,train_negative,contaminated_positive,eval_positive,eval_negative,roc_auc,average_precision,eval_positive_mean_score
Buttress,20,PN,10,6,26,2,2,10,1.0,1.0,0.502829909324646
Buttress,20,Ignore,10,6,24,2,2,10,1.0,1.0,0.5060678720474243
Buttress,20,Oracle,10,8,24,2,2,10,1.0,1.0,0.5157049894332886
Buttress,21,PN,10,6,26,2,2,10,0.6,0.6,0.47886303067207336
Buttress,21,Ignore,10,6,24,2,2,10,0.6,0.6,0.4796362519264221
Buttress,21,Oracle,10,8,24,2,2,10,0.6,0.6,0.4760465621948242
Buttress,22,PN,10,6,26,2,2,10,0.55,0.35,0.47933799028396606
Buttress,22,Ignore,10,6,24,2,2,10,0.55,0.35,0.48038119077682495
Buttress,22,Oracle,10,8,24,2,2,10,0.5,0.34090909090909094,0.4819409251213074
Buttress,23,PN,10,6,26,2,2,10,0.9,0.75,0.5165935754776001
Buttress,23,Ignore,10,6,24,2,2,10,0.9,0.75,0.519014835357666
Buttress,23,Oracle,10,8,24,2,2,10,0.8500000000000001,0.5,0.5190205574035645
Buttress,24,PN,10,6,26,2,2,10,0.8,0.6666666666666666,0.4881090223789215
Buttress,24,Ignore,10,6,24,2,2,10,0.75,0.41666666666666663,0.49328991770744324
Buttress,24,Oracle,10,8,24,2,2,10,0.75,0.3666666666666667,0.5015833377838135
Buttress,25,PN,10,6,26,2,2,10,0.5,0.26666666666666666,0.4945340156555176
Buttress,25,Ignore,10,6,24,2,2,10,0.5,0.26666666666666666,0.5005840063095093
Buttress,25,Oracle,10,8,24,2,2,10,0.65,0.6111111111111112,0.5186845064163208
Buttress,26,PN,10,6,26,2,2,10,0.15000000000000002,0.14583333333333331,0.42578035593032837
Buttress,26,Ignore,10,6,24,2,2,10,0.15000000000000002,0.14583333333333331,0.4278571903705597
Buttress,26,Oracle,10,8,24,2,2,10,0.15000000000000002,0.14583333333333331,0.42746371030807495
Buttress,27,PN,10,6,26,2,2,10,0.8,0.41666666666666663,0.4995627999305725
Buttress,27,Ignore,10,6,24,2,2,10,0.8,0.41666666666666663,0.5038525462150574
Buttress,27,Oracle,10,8,24,2,2,10,0.8500000000000001,0.5,0.5096169114112854
Buttress,28,PN,10,6,26,2,2,10,0.6,0.26785714285714285,0.4636443555355072
Buttress,28,Ignore,10,6,24,2,2,10,0.7,0.325,0.46518558263778687
Buttress,28,Oracle,10,8,24,2,2,10,0.8,0.6666666666666666,0.4743533730506897
Buttress,29,PN,10,6,26,2,2,10,0.35,0.20833333333333331,0.4371051788330078
Buttress,29,Ignore,10,6,24,2,2,10,0.35,0.20833333333333331,0.44102898240089417
Buttress,29,Oracle,10,8,24,2,2,10,0.4,0.25,0.4438968896865845
Buttress,30,PN,10,6,26,2,2,10,0.5,0.225,0.4813772141933441
Buttress,30,Ignore,10,6,24,2,2,10,0.55,0.24285714285714285,0.4838939309120178
Buttress,30,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.5025159120559692
Buttress,31,PN,10,6,26,2,2,10,0.45,0.3333333333333333,0.4647718071937561
Buttress,31,Ignore,10,6,24,2,2,10,0.45,0.3333333333333333,0.466200590133667
Buttress,31,Oracle,10,8,24,2,2,10,0.45,0.3333333333333333,0.4627012014389038
Buttress,32,PN,10,6,26,2,2,10,0.5,0.225,0.4669559597969055
Buttress,32,Ignore,10,6,24,2,2,10,0.5,0.225,0.46884533762931824
Buttress,32,Oracle,10,8,24,2,2,10,0.55,0.25,0.47743940353393555
Buttress,33,PN,10,6,26,2,2,10,0.7999999999999999,0.45,0.5004342794418335
Buttress,33,Ignore,10,6,24,2,2,10,0.8500000000000001,0.5,0.5086153149604797
Buttress,33,Oracle,10,8,24,2,2,10,0.9,0.5833333333333333,0.5227447152137756
Buttress,34,PN,10,6,26,2,2,10,0.5,0.34090909090909094,0.43165019154548645
Buttress,34,Ignore,10,6,24,2,2,10,0.5,0.34090909090909094,0.4366612136363983
Buttress,34,Oracle,10,8,24,2,2,10,0.5,0.34090909090909094,0.4423691928386688
Buttress,35,PN,10,6,26,2,2,10,0.75,0.3666666666666667,0.47236311435699463
Buttress,35,Ignore,10,6,24,2,2,10,0.75,0.3666666666666667,0.4759600758552551
Buttress,35,Oracle,10,8,24,2,2,10,0.75,0.41666666666666663,0.48478633165359497
Buttress,36,PN,10,6,26,2,2,10,0.7,0.325,0.4918033182621002
Buttress,36,Ignore,10,6,24,2,2,10,0.7999999999999999,0.45,0.5015624761581421
Buttress,36,Oracle,10,8,24,2,2,10,0.85,0.7,0.5131266713142395
Buttress,37,PN,10,6,26,2,2,10,0.8,0.6666666666666666,0.4956260919570923
Buttress,37,Ignore,10,6,24,2,2,10,0.85,0.7,0.501844584941864
Buttress,37,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5160535573959351
Buttress,38,PN,10,6,26,2,2,10,0.35,0.18333333333333335,0.46249252557754517
Buttress,38,Ignore,10,6,24,2,2,10,0.35,0.18333333333333335,0.46716320514678955
Buttress,38,Oracle,10,8,24,2,2,10,0.45,0.20833333333333331,0.47988957166671753
Buttress,39,PN,10,6,26,2,2,10,0.44999999999999996,0.25757575757575757,0.4581456780433655
Buttress,39,Ignore,10,6,24,2,2,10,0.44999999999999996,0.25757575757575757,0.4661968946456909
Buttress,39,Oracle,10,8,24,2,2,10,0.6000000000000001,0.3611111111111111,0.4900239408016205
Buttress,40,PN,10,6,26,2,2,10,0.8,0.41666666666666663,0.5068049430847168
Buttress,40,Ignore,10,6,24,2,2,10,0.8,0.41666666666666663,0.5083478689193726
Buttress,40,Oracle,10,8,24,2,2,10,0.75,0.3666666666666667,0.510613203048706
Buttress,41,PN,10,6,26,2,2,10,0.8500000000000001,0.5,0.48916131258010864
Buttress,41,Ignore,10,6,24,2,2,10,0.8500000000000001,0.5,0.49163198471069336
Buttress,41,Oracle,10,8,24,2,2,10,1.0,1.0,0.4948074519634247
Buttress,42,PN,10,6,26,2,2,10,0.55,0.5909090909090909,0.4839402437210083
Buttress,42,Ignore,10,6,24,2,2,10,0.55,0.5909090909090909,0.4862236976623535
Buttress,42,Oracle,10,8,24,2,2,10,0.5,0.5833333333333334,0.48889172077178955
Buttress,43,PN,10,6,26,2,2,10,0.35000000000000003,0.18253968253968253,0.48208892345428467
Buttress,43,Ignore,10,6,24,2,2,10,0.45,0.2111111111111111,0.4867982268333435
Buttress,43,Oracle,10,8,24,2,2,10,0.6,0.26785714285714285,0.4997192621231079
Buttress,44,PN,10,6,26,2,2,10,0.2,0.1534090909090909,0.46696561574935913
Buttress,44,Ignore,10,6,24,2,2,10,0.30000000000000004,0.1736111111111111,0.47663170099258423
Buttress,44,Oracle,10,8,24,2,2,10,0.65,0.6111111111111112,0.4992569088935852
Buttress,45,PN,10,6,26,2,2,10,0.6,0.26666666666666666,0.4849795401096344
Buttress,45,Ignore,10,6,24,2,2,10,0.6,0.26666666666666666,0.48605138063430786
Buttress,45,Oracle,10,8,24,2,2,10,0.65,0.30952380952380953,0.48401474952697754
Buttress,46,PN,10,6,26,2,2,10,0.75,0.3666666666666667,0.5067424178123474
Buttress,46,Ignore,10,6,24,2,2,10,0.75,0.3666666666666667,0.5104284286499023
Buttress,46,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.515047550201416
Buttress,47,PN,10,6,26,2,2,10,0.9,0.75,0.5093400478363037
Buttress,47,Ignore,10,6,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5114902257919312
Buttress,47,Oracle,10,8,24,2,2,10,1.0,1.0,0.5114957094192505
Buttress,48,PN,10,6,26,2,2,10,0.7,0.625,0.48423463106155396
Buttress,48,Ignore,10,6,24,2,2,10,0.65,0.6111111111111112,0.4852065145969391
Buttress,48,Oracle,10,8,24,2,2,10,0.55,0.35,0.48352640867233276
Buttress,49,PN,10,6,26,2,2,10,0.3,0.18333333333333335,0.4105421006679535
Buttress,49,Ignore,10,6,24,2,2,10,0.3,0.18333333333333335,0.41565170884132385
Buttress,49,Oracle,10,8,24,2,2,10,0.35,0.20833333333333331,0.4217151999473572
Buttress,50,PN,10,6,26,2,2,10,0.7,0.3333333333333333,0.4957937002182007
Buttress,50,Ignore,10,6,24,2,2,10,0.75,0.3666666666666667,0.4965062737464905
Buttress,50,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.4934057593345642
Buttress,51,PN,10,6,26,2,2,10,0.5,0.225,0.4856894016265869
Buttress,51,Ignore,10,6,24,2,2,10,0.5,0.225,0.49185317754745483
Buttress,51,Oracle,10,8,24,2,2,10,0.75,0.6428571428571428,0.5081874132156372
Buttress,52,PN,10,6,26,2,2,10,0.65,0.29166666666666663,0.4887351095676422
Buttress,52,Ignore,10,6,24,2,2,10,0.65,0.29166666666666663,0.4896305799484253
Buttress,52,Oracle,10,8,24,2,2,10,0.7,0.325,0.48940324783325195
Buttress,53,PN,10,6,26,2,2,10,0.14999999999999997,0.14646464646464646,0.43442806601524353
Buttress,53,Ignore,10,6,24,2,2,10,0.2,0.1534090909090909,0.43946829438209534
Buttress,53,Oracle,10,8,24,2,2,10,0.3,0.17424242424242425,0.4559304714202881
Buttress,54,PN,10,6,26,2,2,10,0.8500000000000001,0.5,0.5121602416038513
Buttress,54,Ignore,10,6,24,2,2,10,0.8500000000000001,0.5,0.5138422250747681
Buttress,54,Oracle,10,8,24,2,2,10,0.8500000000000001,0.5,0.5137032270431519
Buttress,55,PN,10,6,26,2,2,10,0.3,0.18333333333333335,0.4249746799468994
Buttress,55,Ignore,10,6,24,2,2,10,0.3,0.18333333333333335,0.42774727940559387
Buttress,55,Oracle,10,8,24,2,2,10,0.3,0.18333333333333335,0.43239927291870117
Buttress,56,PN,10,6,26,2,2,10,0.65,0.6111111111111112,0.47090232372283936
Buttress,56,Ignore,10,6,24,2,2,10,0.7,0.625,0.4775127172470093
Buttress,56,Oracle,10,8,24,2,2,10,0.7999999999999999,0.45,0.4976828396320343
Buttress,57,PN,10,6,26,2,2,10,0.6,0.26785714285714285,0.4682431221008301
Buttress,57,Ignore,10,6,24,2,2,10,0.6,0.26785714285714285,0.47322750091552734
Buttress,57,Oracle,10,8,24,2,2,10,0.75,0.41666666666666663,0.4881405234336853
Buttress,58,PN,10,6,26,2,2,10,0.35000000000000003,0.18253968253968253,0.4798770248889923
Buttress,58,Ignore,10,6,24,2,2,10,0.6,0.26666666666666666,0.48828527331352234
Buttress,58,Oracle,10,8,24,2,2,10,0.6,0.29166666666666663,0.5040595531463623
Buttress,59,PN,10,6,26,2,2,10,0.44999999999999996,0.25757575757575757,0.44113823771476746
Buttress,59,Ignore,10,6,24,2,2,10,0.5,0.34090909090909094,0.44323670864105225
Buttress,59,Oracle,10,8,24,2,2,10,0.45,0.3333333333333333,0.44280844926834106
Buttress,60,PN,10,6,26,2,2,10,0.85,0.7,0.5106764435768127
Buttress,60,Ignore,10,6,24,2,2,10,0.85,0.7,0.5114353895187378
Buttress,60,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5085569620132446
Buttress,61,PN,10,6,26,2,2,10,0.8,0.6666666666666666,0.5142602324485779
Buttress,61,Ignore,10,6,24,2,2,10,0.85,0.7,0.5138659477233887
Buttress,61,Oracle,10,8,24,2,2,10,0.9,0.75,0.5157468318939209
Buttress,62,PN,10,6,26,2,2,10,0.9500000000000001,0.8333333333333333,0.5080862045288086
Buttress,62,Ignore,10,6,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5095285177230835
Buttress,62,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5130102038383484
Buttress,63,PN,10,6,26,2,2,10,0.9,0.5833333333333333,0.49306946992874146
Buttress,63,Ignore,10,6,24,2,2,10,0.9,0.75,0.5002711415290833
Buttress,63,Oracle,10,8,24,2,2,10,0.9,0.75,0.5179283618927002
Buttress,64,PN,10,6,26,2,2,10,0.7,0.625,0.49746575951576233
Buttress,64,Ignore,10,6,24,2,2,10,0.8,0.6666666666666666,0.5064409971237183
Buttress,64,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5296109914779663
Buttress,65,PN,10,6,26,2,2,10,0.19999999999999996,0.15555555555555556,0.4709586501121521
Buttress,65,Ignore,10,6,24,2,2,10,0.19999999999999996,0.15555555555555556,0.47710758447647095
Buttress,65,Oracle,10,8,24,2,2,10,0.25,0.1625,0.48794445395469666
Buttress,66,PN,10,6,26,2,2,10,0.55,0.24285714285714285,0.5094007253646851
Buttress,66,Ignore,10,6,24,2,2,10,0.6,0.26666666666666666,0.5105761289596558
Buttress,66,Oracle,10,8,24,2,2,10,0.8500000000000001,0.5,0.5220564603805542
Buttress,67,PN,10,6,26,2,2,10,1.0,1.0,0.5223406553268433
Buttress,67,Ignore,10,6,24,2,2,10,1.0,1.0,0.5289666652679443
Buttress,67,Oracle,10,8,24,2,2,10,1.0,1.0,0.5387422442436218
Buttress,68,PN,10,6,26,2,2,10,0.7999999999999999,0.45,0.4966862201690674
Buttress,68,Ignore,10,6,24,2,2,10,0.75,0.41666666666666663,0.49269551038742065
Buttress,68,Oracle,10,8,24,2,2,10,0.7,0.39285714285714285,0.48294010758399963
Buttress,69,PN,10,6,26,2,2,10,1.0,1.0,0.5109513998031616
Buttress,69,Ignore,10,6,24,2,2,10,1.0,1.0,0.512580394744873
Buttress,69,Oracle,10,8,24,2,2,10,1.0,1.0,0.5116801261901855
Buttress,70,PN,10,6,26,2,2,10,0.44999999999999996,0.25757575757575757,0.45642906427383423
Buttress,70,Ignore,10,6,24,2,2,10,0.44999999999999996,0.25757575757575757,0.46127238869667053
Buttress,70,Oracle,10,8,24,2,2,10,0.44999999999999996,0.225,0.4716762602329254
Buttress,71,PN,10,6,26,2,2,10,0.7,0.3333333333333333,0.48122620582580566
Buttress,71,Ignore,10,6,24,2,2,10,0.6,0.26785714285714285,0.481239378452301
Buttress,71,Oracle,10,8,24,2,2,10,0.4,0.19642857142857142,0.4817589819431305
Buttress,72,PN,10,6,26,2,2,10,0.44999999999999996,0.25757575757575757,0.44395631551742554
Buttress,72,Ignore,10,6,24,2,2,10,0.44999999999999996,0.25757575757575757,0.4466119408607483
Buttress,72,Oracle,10,8,24,2,2,10,0.4,0.25,0.4523296058177948
Buttress,73,PN,10,6,26,2,2,10,0.7,0.625,0.49434199929237366
Buttress,73,Ignore,10,6,24,2,2,10,0.7,0.625,0.5011909008026123
Buttress,73,Oracle,10,8,24,2,2,10,0.75,0.6428571428571428,0.5117367506027222
Buttress,74,PN,10,6,26,2,2,10,0.85,0.7,0.503822386264801
Buttress,74,Ignore,10,6,24,2,2,10,0.7999999999999999,0.45,0.5068528652191162
Buttress,74,Oracle,10,8,24,2,2,10,0.9,0.5833333333333333,0.5195215344429016
Buttress,75,PN,10,6,26,2,2,10,0.9500000000000001,0.8333333333333333,0.5137159824371338
Buttress,75,Ignore,10,6,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5152257680892944
Buttress,75,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5154126882553101
Buttress,76,PN,10,6,26,2,2,10,0.65,0.375,0.5039325952529907
Buttress,76,Ignore,10,6,24,2,2,10,0.7,0.39285714285714285,0.5064824819564819
Buttress,76,Oracle,10,8,24,2,2,10,0.7999999999999999,0.45,0.5078574419021606
Buttress,77,PN,10,6,26,2,2,10,0.65,0.30952380952380953,0.4829626679420471
Buttress,77,Ignore,10,6,24,2,2,10,0.8,0.41666666666666663,0.49371880292892456
Buttress,77,Oracle,10,8,24,2,2,10,0.9,0.75,0.520648181438446
Buttress,78,PN,10,6,26,2,2,10,0.9,0.75,0.4879900813102722
Buttress,78,Ignore,10,6,24,2,2,10,0.9,0.75,0.4937906265258789
Buttress,78,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5096032619476318
Buttress,79,PN,10,6,26,2,2,10,0.85,0.7,0.4935039281845093
Buttress,79,Ignore,10,6,24,2,2,10,0.85,0.7,0.5003619194030762
Buttress,79,Oracle,10,8,24,2,2,10,1.0,1.0,0.5164361000061035
Buttress,80,PN,10,6,26,2,2,10,0.65,0.375,0.4846423268318176
Buttress,80,Ignore,10,6,24,2,2,10,0.7,0.39285714285714285,0.4921687841415405
Buttress,80,Oracle,10,8,24,2,2,10,0.9,0.5833333333333333,0.514438271522522
Buttress,81,PN,10,6,26,2,2,10,0.65,0.375,0.4845329523086548
Buttress,81,Ignore,10,6,24,2,2,10,0.5,0.26666666666666666,0.4838237166404724
Buttress,81,Oracle,10,8,24,2,2,10,0.35,0.18333333333333335,0.474978506565094
Buttress,82,PN,10,6,26,2,2,10,0.5,0.225,0.47278106212615967
Buttress,82,Ignore,10,6,24,2,2,10,0.55,0.25,0.48107942938804626
Buttress,82,Oracle,10,8,24,2,2,10,0.6,0.26666666666666666,0.5024610757827759
Buttress,83,PN,10,6,26,2,2,10,0.8500000000000001,0.5,0.509503960609436
Buttress,83,Ignore,10,6,24,2,2,10,0.9,0.5833333333333333,0.5117946267127991
Buttress,83,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5176165103912354
Buttress,84,PN,10,6,26,2,2,10,0.2,0.15476190476190477,0.4240584373474121
Buttress,84,Ignore,10,6,24,2,2,10,0.2,0.15476190476190477,0.4283626079559326
Buttress,84,Oracle,10,8,24,2,2,10,0.2,0.15476190476190477,0.43178045749664307
Buttress,85,PN,10,6,26,2,2,10,0.9,0.5833333333333333,0.507970929145813
Buttress,85,Ignore,10,6,24,2,2,10,0.9,0.5833333333333333,0.5117366909980774
Buttress,85,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5246777534484863
Buttress,86,PN,10,6,26,2,2,10,0.8,0.41666666666666663,0.505439817905426
Buttress,86,Ignore,10,6,24,2,2,10,0.8,0.41666666666666663,0.504998505115509
Buttress,86,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.5031376481056213
Buttress,87,PN,10,6,26,2,2,10,0.9,0.5833333333333333,0.5215996503829956
Buttress,87,Ignore,10,6,24,2,2,10,0.9,0.5833333333333333,0.5222609043121338
Buttress,87,Oracle,10,8,24,2,2,10,0.9,0.75,0.5218402147293091
Buttress,88,PN,10,6,26,2,2,10,0.7,0.325,0.49252671003341675
Buttress,88,Ignore,10,6,24,2,2,10,0.75,0.3666666666666667,0.5015020370483398
Buttress,88,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.5227785110473633
Buttress,89,PN,10,6,26,2,2,10,0.7,0.625,0.5032479166984558
Buttress,89,Ignore,10,6,24,2,2,10,0.7,0.625,0.5054264068603516
Buttress,89,Oracle,10,8,24,2,2,10,0.7,0.625,0.5050939321517944
Buttress,90,PN,10,6,26,2,2,10,0.6,0.26666666666666666,0.4739744961261749
Buttress,90,Ignore,10,6,24,2,2,10,0.6,0.26666666666666666,0.47736847400665283
Buttress,90,Oracle,10,8,24,2,2,10,0.65,0.375,0.4822617769241333
Buttress,91,PN,10,6,26,2,2,10,1.0,1.0,0.4956757426261902
Buttress,91,Ignore,10,6,24,2,2,10,1.0,1.0,0.49702906608581543
Buttress,91,Oracle,10,8,24,2,2,10,0.9,0.75,0.5033180713653564
Buttress,92,PN,10,6,26,2,2,10,0.85,0.7,0.48215535283088684
Buttress,92,Ignore,10,6,24,2,2,10,0.85,0.7,0.48252686858177185
Buttress,92,Oracle,10,8,24,2,2,10,0.75,0.41666666666666663,0.48363691568374634
Buttress,93,PN,10,6,26,2,2,10,0.55,0.24285714285714285,0.4848596453666687
Buttress,93,Ignore,10,6,24,2,2,10,0.55,0.24285714285714285,0.4907725155353546
Buttress,93,Oracle,10,8,24,2,2,10,0.9,0.5833333333333333,0.5068109631538391
Buttress,94,PN,10,6,26,2,2,10,0.6,0.29166666666666663,0.48308807611465454
Buttress,94,Ignore,10,6,24,2,2,10,0.6,0.29166666666666663,0.48890966176986694
Buttress,94,Oracle,10,8,24,2,2,10,0.55,0.25,0.5008619427680969
Buttress,95,PN,10,6,26,2,2,10,0.6,0.29166666666666663,0.4931291341781616
Buttress,95,Ignore,10,6,24,2,2,10,0.8500000000000001,0.5,0.5002284646034241
Buttress,95,Oracle,10,8,24,2,2,10,0.9500000000000001,0.8333333333333333,0.5226044058799744
Buttress,96,PN,10,6,26,2,2,10,0.85,0.7,0.497092068195343
Buttress,96,Ignore,10,6,24,2,2,10,0.7999999999999999,0.45,0.5001112222671509
Buttress,96,Oracle,10,8,24,2,2,10,0.9,0.5833333333333333,0.5105276107788086
Buttress,97,PN,10,6,26,2,2,10,0.4,0.2159090909090909,0.47388404607772827
Buttress,97,Ignore,10,6,24,2,2,10,0.44999999999999996,0.225,0.48070651292800903
Buttress,97,Oracle,10,8,24,2,2,10,0.6,0.29166666666666663,0.4986751079559326
Buttress,98,PN,10,6,26,2,2,10,0.65,0.30952380952380953,0.48815494775772095
Buttress,98,Ignore,10,6,24,2,2,10,0.7,0.39285714285714285,0.4957447648048401
Buttress,98,Oracle,10,8,24,2,2,10,0.8,0.6666666666666666,0.5195184946060181
Buttress,99,PN,10,6,26,2,2,10,0.5,0.2361111111111111,0.4685927629470825
Buttress,99,Ignore,10,6,24,2,2,10,0.45,0.2111111111111111,0.4766664206981659
Buttress,99,Oracle,10,8,24,2,2,10,0.8,0.41666666666666663,0.5038050413131714
Pilaster,0,PN,11,5,23,3,3,15,0.9111111111111112,0.7222222222222222,0.5369954109191895
Pilaster,0,Ignore,11,5,20,3,3,15,0.9555555555555556,0.8666666666666667,0.5511507391929626
Pilaster,0,Oracle,11,8,20,3,3,15,1.0,1.0,0.5594715476036072
Pilaster,1,PN,11,5,23,3,3,15,0.9555555555555556,0.8666666666666667,0.5147636532783508
Pilaster,1,Ignore,11,5,20,3,3,15,0.9777777777777777,0.9166666666666665,0.5280720591545105
Pilaster,1,Oracle,11,8,20,3,3,15,0.9555555555555556,0.8055555555555556,0.5339763164520264
Pilaster,2,PN,11,5,23,3,3,15,0.9111111111111111,0.5888888888888889,0.5431633591651917
Pilaster,2,Ignore,11,5,20,3,3,15,0.9333333333333333,0.7555555555555555,0.547069251537323
Pilaster,2,Oracle,11,8,20,3,3,15,0.9555555555555556,0.8666666666666667,0.5489470958709717
Pilaster,3,PN,11,5,23,3,3,15,0.9111111111111111,0.7,0.5346676111221313
Pilaster,3,Ignore,11,5,20,3,3,15,0.9555555555555556,0.8055555555555556,0.5485146045684814
